country	max
Hong Kong	31
Botswana	10
South Africa	238
Italy	242
Belgium	47
Israel	35
Australia	103
United Kingdom	272
Austria	37
Canada	152
Germany	336
Netherlands	69
Spain	188
Czech Republic	43
Reunion	4
Sweden	41
Portugal	41
Brazil	852
Japan	506
Ghana	125
Ireland	20
USA	1326
South Korea	206
France	262
India	5530
Switzerland	35
Norway	22
Malaysia	130
Denmark	24
Singapore	24
Sri Lanka	86
Nigeria	828
Mexico	517
Maldives	3
Finland	23
Croatia	17
Romania	77
Greece	42
Thailand	280
Russia	584
Senegal	68
Bangladesh	660
Malawi	77
Jordan	41
Nepal	117
Argentina	182
Liechtenstein	1
Slovakia	22
Gibraltar	1
Turkey	338
Pakistan	887
Puerto Rico	12
Sierra Leone	33
Trinidad and Tobago	6
Namibia	11
Lebanon	28
China	5762
